Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,160.2,-122.9,-90.0,top
C2,10uF,C_0805_2012Metric,140.0,-131.3,-90.0,top
C3,100nF,C_0805_2012Metric,141.65,-112.5,90.0,top
C4,10uF,C_0805_2012Metric,146.825,-131.25,-90.0,top
C5,10uF,C_0805_2012Metric,142.15,-120.475,0.0,top
C6,10uF,C_0805_2012Metric,138.5,-127.8,180.0,top
C7,330nF,C_0805_2012Metric,148.4,-109.2,0.0,top
C8,10uF,C_0805_2012Metric,150.0,-120.9,-90.0,top
C9,330nF,C_0805_2012Metric,148.4,-111.1,0.0,top
C10,100nF,C_0805_2012Metric,152.7,-133.1,0.0,top
C11,100nF,C_0805_2012Metric,168.6,-141.2,90.0,top
D1,LED_0805,LED_0805_2012Metric,134.0,-143.5,90.0,top
D2,LED_0805,LED_0805_2012Metric,136.9,-108.75,180.0,top
J1,Jack 3.5mm,Jack_3.5mm_PJ320D_Horizontal,154.4,-111.63,-90.0,top
J2,ICSP,Molex_200528-0050_1x05-1MP_P1.00mm_Horizontal,163.0,-150.2,0.0,top
R1,330,R_0805_2012Metric,134.0,-148.5,-90.0,top
R2,5.1k,R_0805_2012Metric,142.4,-115.15,0.0,top
R3,5.1k,R_0805_2012Metric,142.4,-117.05,0.0,top
R4,1k,R_0805_2012Metric,140.575,-108.775,0.0,top
R5,330,R_0805_2012Metric,146.8,-114.2,-90.0,top
R6,330,R_0805_2012Metric,148.7,-114.2,90.0,top
R7,10k,R_0805_2012Metric,145.175,-119.625,90.0,top
R8,10k,R_0805_2012Metric,152.6,-120.0,180.0,top
R9,10k,R_0805_2012Metric,156.0,-120.0,180.0,top
R10,1k,R_0805_2012Metric,151.25,-123.6,180.0,top
R11,10k,R_0805_2012Metric,156.25,-122.9,90.0,top
R12,10k,R_0805_2012Metric,154.25,-122.8875,90.0,top
R13,10k,R_0805_2012Metric,165.0,-146.1,180.0,top
RG1,470k,R_0805_2012Metric,155.7,-127.8,-90.0,top
SW1,SPDT_PCM12,SW_SPDT_PCM12,133.575,-134.6,-90.0,top
SW2,Pushbutton,SW_SPST_PTS645,165.9,-128.8,0.0,top
U2,MIC5205-3.3YM5,SOT-23-5,143.625,-131.2875,0.0,top
U3,TP4056,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,143.4,-125.3,-90.0,top
U4,LM358,SOP-8_3.9x4.9mm_P1.27mm,151.9,-128.4,-90.0,top
U5,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,162.2,-139.8,180.0,top
USB1,USB_C 31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,135.45,-116.15,-90.0,top
X1,Resonator 8MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,169.2,-137.2,90.0,top
